City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
6,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Jamestown,US,87.12,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Ko Samui,TH,83.71,moderate rain,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
14,Avera,US,89.47,overcast clouds,33.194,-82.5271, 
22,Mersing,MY,76.91,broken clouds,2.4312,103.8405,Timotel Hotel
25,Aquiraz,BR,82.49,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
27,Monrovia,LR,76.77,moderate rain,6.3005,-10.7969,Sunset Inn
29,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Marsh Harbour,BS,79.95,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
32,Khash,IR,79.65,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
34,Chapais,CA,78.58,broken clouds,49.7834,-74.8492,Hôtel Opémiska
35,Matagami,CA,82.51,clear sky,49.7502,-77.6328,Hôtel Matagami
37,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
40,Hamilton,US,84.15,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
42,Jacqueville,CI,80.51,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
46,Tshikapa,CD,77.16,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
49,Basco,PH,83.66,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
50,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
52,Atuona,PF,79.93,broken clouds,-9.8,-139.0333,Villa Enata
58,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
65,Hithadhoo,MV,82.65,clear sky,-0.6,73.0833,Scoop Guest House
70,Butaritari,KI,82.4,light rain,3.0707,172.7902,Isles Sunset Lodge
77,Yuli,NG,76.96,light rain,9.6989,10.2744, 
79,Grand-Santi,GF,75.18,light rain,4.25,-54.3833,Hotel La Villa Couacou
80,Marzuq,YE,81.9,scattered clouds,14.4,46.4667, 
81,Moroni,KM,76.96,broken clouds,-11.7022,43.2551,Hotel les Arcades
85,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
87,Rikitea,PF,76.64,overcast clouds,-23.1203,-134.9692,Pension Maro'i
88,Kieta,PG,81.21,light rain,-6.2167,155.6333,Uruna Bay Retreat
91,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
110,Acarau,BR,78.17,scattered clouds,-2.8856,-40.12,castelo pizzaria
111,Clarksburg,US,88.48,clear sky,39.2807,-80.3445,Greenbrier Motel & Restaurant
112,Port-Gentil,GA,80.56,overcast clouds,-0.7193,8.7815,Fengshui Residence
113,Canton,CN,80.94,broken clouds,23.1167,113.25,Guangzhou Hotel
116,Labrea,BR,75.85,heavy intensity rain,-7.2586,-64.7981,Hotel Novo Horizonte
118,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
119,Humaita,BR,80.38,light rain,-7.5061,-63.0208,Corrêa Hotel
128,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
134,Belmonte,BR,77.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
145,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
146,Mitsamiouli,KM,78.71,scattered clouds,-11.3847,43.2844,Foyer ADM
149,Sinnamary,GF,76.06,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
152,Kudahuvadhoo,MV,82.72,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
153,Aripuana,BR,80.35,overcast clouds,-9.1667,-60.6333, 
159,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
166,Pachora,IN,85.1,broken clouds,20.6667,75.35,Vishal Avinash patil
167,Minna,NG,78.57,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
169,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
175,Korampallam,IN,82.42,overcast clouds,8.7667,78.1,Regency Tuticorin by GRT Hotels
179,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
183,Banjar,ID,76.86,few clouds,-8.19,114.9675,The Hamsa Resort
188,Lorengau,PG,81.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
189,Dangriga,BZ,87.76,scattered clouds,16.9692,-88.2321,Chaleanor Hotel
191,Kandi,BJ,81.64,light rain,11.1342,2.9386,Baric Motel De Kandi
194,Yarada,IN,84.52,few clouds,17.65,83.2667,Jeevan
196,Knysna,ZA,77.38,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
