City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Taltal,CL,-25.4,-70.4833,61.3,78,20,5.19,few clouds
1,Castro,BR,-24.7911,-50.0119,60.78,72,95,3.87,overcast clouds
2,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,40,6.91,scattered clouds
3,Geraldton,AU,-28.7667,114.6,55.81,82,93,18.59,overcast clouds
4,Qasigiannguit,GL,68.8193,-51.1922,39.45,81,74,3.31,broken clouds
5,Punta Arenas,CL,-53.15,-70.9167,41.11,75,0,11.83,clear sky
6,Vaini,TO,-21.2,-175.2,77.16,83,75,13.8,broken clouds
7,Poronaysk,RU,49.2167,143.1167,53.08,72,72,7.11,broken clouds
8,Alexandria,EG,31.2156,29.9553,69.76,73,0,9.22,clear sky
9,Faya,SA,18.3851,42.4509,70.32,49,6,1.86,clear sky
10,Jamestown,US,42.097,-79.2353,87.12,53,40,6.91,scattered clouds
11,Mnogovershinnyy,RU,53.9353,139.9242,39.85,91,96,5.19,overcast clouds
12,Ko Samui,TH,9.5357,99.9357,83.71,76,100,23.17,moderate rain
13,Mataura,NZ,-46.1927,168.8643,49.48,83,72,1.99,broken clouds
14,Avera,US,33.194,-82.5271,89.47,88,100,5.77,overcast clouds
15,Bitam,GA,2.076,11.5007,68.54,99,99,1.72,moderate rain
16,Roald,NO,62.5833,6.1333,57.9,87,20,3.44,few clouds
17,Livingston,GB,55.9029,-3.5226,55.27,82,0,2.64,clear sky
18,Okhotsk,RU,59.3833,143.3,43.52,85,100,1.48,overcast clouds
19,New Norfolk,AU,-42.7826,147.0587,55.92,75,100,1.99,moderate rain
20,Hofn,IS,64.2539,-15.2082,47.1,95,94,12.33,overcast clouds
21,Leningradskiy,RU,69.3833,178.4167,40.57,77,14,13.73,few clouds
22,Mersing,MY,2.4312,103.8405,76.91,94,78,4.61,broken clouds
23,Berlevag,NO,70.8578,29.0864,39.15,70,0,4.61,clear sky
24,Yellowknife,CA,62.456,-114.3525,50.52,53,75,5.01,broken clouds
25,Aquiraz,BR,-3.9014,-38.3911,82.49,80,10,6.71,clear sky
26,Mount Gambier,AU,-37.8333,140.7667,55.31,71,100,14.97,overcast clouds
27,Monrovia,LR,6.3005,-10.7969,76.77,85,97,8.77,moderate rain
28,Cape Town,ZA,-33.9258,18.4232,70.27,30,0,12.48,clear sky
29,Kapaa,US,22.0752,-159.319,82.38,69,75,3.0,broken clouds
30,Marsh Harbour,BS,26.5412,-77.0636,79.95,75,100,14.41,overcast clouds
31,San Juan,AR,-31.5375,-68.5364,68.72,48,0,8.46,clear sky
32,Khash,IR,28.2211,61.2158,79.65,44,0,3.78,clear sky
33,San Patricio,US,28.017,-97.5169,93.06,69,9,16.44,clear sky
34,Chapais,CA,49.7834,-74.8492,78.58,30,64,8.19,broken clouds
35,Matagami,CA,49.7502,-77.6328,82.51,42,1,9.46,clear sky
36,Hobart,AU,-42.8794,147.3294,56.26,77,75,1.01,light rain
37,Puerto Ayora,EC,-0.7393,-90.3518,80.56,88,35,5.99,scattered clouds
38,Nanortalik,GL,60.1432,-45.2371,44.83,72,100,15.12,overcast clouds
