City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Labuhan,ID,2021-06-04 00:54:33,-6.8844,112.2051,82.62,75,97,9.42
1,Quechultenango,MX,2021-06-04 00:54:34,17.4167,-99.2167,72.93,90,66,3.94
2,Araouane,ML,2021-06-04 00:54:34,18.9048,-3.5265,95.76,16,9,10.09
3,Punta Arenas,CL,2021-06-04 00:51:35,-53.15,-70.9167,35.71,93,90,9.1
4,Kulhudhuffushi,MV,2021-06-04 00:54:34,6.6221,73.07,82.51,75,98,18.68
5,Bethel,US,2021-06-04 00:54:35,41.3712,-73.414,69.89,89,90,6.91
6,Thompson,CA,2021-06-04 00:50:45,55.7435,-97.8558,59.16,47,90,4.61
7,Atuona,PF,2021-06-04 00:54:35,-9.8,-139.0333,79.72,79,26,18.01
8,Cabo San Lucas,MX,2021-06-04 00:51:27,22.8909,-109.9124,93.81,50,0,11.39
9,Samastipur,IN,2021-06-04 00:54:35,25.85,85.7833,90.05,45,19,5.41
10,Mataura,NZ,2021-06-04 00:54:36,-46.1927,168.8643,49.48,75,52,3.89
11,Dikson,RU,2021-06-04 00:54:36,73.5069,80.5464,31.28,94,98,14.65
12,Ushuaia,AR,2021-06-04 00:54:36,-54.8,-68.3,28.06,80,0,6.91
13,Butaritari,KI,2021-06-04 00:50:30,3.0707,172.7902,83.16,74,100,9.51
14,Kwakoa,TZ,2021-06-04 00:54:37,-3.7667,37.7167,65.32,91,100,3.06
15,Bilibino,RU,2021-06-04 00:52:05,68.0546,166.4372,64.27,29,87,8.12
16,Kodiak,US,2021-06-04 00:54:37,57.79,-152.4072,46.89,84,83,8.12
17,Vostok,RU,2021-06-04 00:51:15,46.4856,135.8833,47.8,99,100,0.92
18,Lorengau,PG,2021-06-04 00:50:08,-2.0226,147.2712,84.81,68,25,1.41
19,Hermanus,ZA,2021-06-04 00:50:35,-34.4187,19.2345,52.9,72,96,7.18
20,Tasiilaq,GL,2021-06-04 00:50:38,65.6145,-37.6368,36.14,77,100,5.75
21,Chuy,UY,2021-06-04 00:50:20,-33.6971,-53.4616,51.73,72,22,7.74
22,Margate,GB,2021-06-04 00:50:23,51.3813,1.3862,62.04,80,28,6.4
23,Shache,CN,2021-06-04 00:54:38,38.4167,77.2406,75.04,29,0,4.61
24,Port Alfred,ZA,2021-06-04 00:50:30,-33.5906,26.891,54.18,74,7,7.29
25,Georgetown,MY,2021-06-04 00:54:39,5.4112,100.3354,82.33,85,20,4.61
26,Rikitea,PF,2021-06-04 00:54:39,-23.1203,-134.9692,72.55,66,8,14.2
27,Cairns,AU,2021-06-04 00:54:39,-16.9167,145.7667,82.06,72,9,8.05
28,Riyadh,SA,2021-06-04 00:51:12,24.6877,46.7219,89.65,17,0,0.0
29,Kapaa,US,2021-06-04 00:54:40,22.0752,-159.319,77.18,87,90,4.0
30,Los Llanos De Aridane,ES,2021-06-04 00:54:40,28.6585,-17.9182,62.35,81,90,16.44
31,Khatanga,RU,2021-06-04 00:54:40,71.9667,102.5,34.0,82,100,6.26
32,Pajapan,MX,2021-06-04 00:54:41,18.25,-94.7,80.37,71,84,7.7
33,Ponta Do Sol,PT,2021-06-04 00:54:41,32.6667,-17.1,65.03,60,14,7.67
34,North Bend,US,2021-06-04 00:54:42,43.4065,-124.2243,69.24,82,90,18.41
35,Barrow,US,2021-06-04 00:50:03,71.2906,-156.7887,33.82,80,90,17.27
36,Qaanaaq,GL,2021-06-04 00:54:42,77.484,-69.3632,24.85,85,23,5.12
37,Saint-Philippe,RE,2021-06-04 00:54:43,-21.3585,55.7679,71.15,81,41,11.43
38,Tuktoyaktuk,CA,2021-06-04 00:54:43,69.4541,-133.0374,44.6,70,90,13.8
39,Hammerfest,NO,2021-06-04 00:54:43,70.6634,23.6821,52.25,66,0,8.05
40,Odweyne,SO,2021-06-04 00:54:44,9.4092,45.064,74.59,52,100,12.93
41,Poum,NC,2021-06-04 00:54:44,-20.2333,164.0167,75.88,58,36,11.01
42,Yellowknife,CA,2021-06-04 00:53:23,62.456,-114.3525,64.92,55,75,10.36
43,Mar Del Plata,AR,2021-06-04 00:50:18,-38.0023,-57.5575,57.99,42,0,18.01
44,Half Moon Bay,US,2021-06-04 00:54:45,37.4636,-122.4286,90.57,73,90,5.75
45,Ribeira Grande,PT,2021-06-04 00:54:45,38.5167,-28.7,62.6,69,96,11.61
46,Olafsvik,IS,2021-06-04 00:52:19,64.8945,-23.7142,48.63,76,100,9.6
47,Ostrovnoy,RU,2021-06-04 00:54:45,68.0531,39.5131,60.39,59,100,15.77
48,Saint-Pierre,RE,2021-06-04 00:52:17,-21.3393,55.4781,71.24,66,20,6.91
49,Kaitangata,NZ,2021-06-04 00:54:46,-46.2817,169.8464,57.92,61,22,3.36
50,Bathsheba,BB,2021-06-04 00:54:46,13.2167,-59.5167,81.21,65,40,17.76
51,Vyazemskiy,RU,2021-06-04 00:54:47,47.5378,134.7525,52.81,97,100,3.27
52,New Norfolk,AU,2021-06-04 00:54:47,-42.7826,147.0587,49.5,56,31,4.0
53,Souillac,MU,2021-06-04 00:54:48,-20.5167,57.5167,73.78,78,75,16.06
54,Sitka,US,2021-06-04 00:50:14,57.0531,-135.33,49.89,81,90,5.75
55,Jamestown,US,2021-06-04 00:52:57,42.097,-79.2353,65.52,92,90,1.99
56,Masallatah,LY,2021-06-04 00:54:48,32.6167,14.0,65.75,78,29,10.38
57,Bambous Virieux,MU,2021-06-04 00:54:49,-20.3428,57.7575,73.65,78,75,17.56
58,Hobart,AU,2021-06-04 00:53:28,-42.8794,147.3294,49.86,62,75,1.01
